iter	PRAUC	Logloss
0	0.7486899999	0.6801359887
1	0.7713147303	0.6656311347
2	0.7944709328	0.6510540966
3	0.8080813083	0.6367600948
4	0.8239753325	0.6264603551
5	0.8266361214	0.6189854516
6	0.8302557498	0.6120084263
7	0.8301923807	0.6040085526
8	0.8316910726	0.5975787202
9	0.8338607383	0.5894176537
10	0.8370259689	0.5833989074
11	0.8426944672	0.5773294088
12	0.841065138	0.5715849306
13	0.8431473015	0.5652259444
14	0.8436883388	0.5573755521
15	0.8441322224	0.5533104149
16	0.8435427037	0.55000612
17	0.8476159097	0.5437312612
18	0.8504414434	0.5371941443
19	0.8579672053	0.5305147933
20	0.8581393267	0.52792054
21	0.8603977931	0.5211383366
22	0.8602890087	0.5200893324
23	0.8590029931	0.5177576007
24	0.8615280822	0.5142788059
25	0.8619377361	0.5129532651
26	0.8618211416	0.5115056641
27	0.8649941979	0.5075476013
28	0.8647222843	0.5052682426
29	0.8670805794	0.4989553523
30	0.8673052086	0.4960337911
31	0.8680099128	0.4945082278
32	0.8684612972	0.4928796815
33	0.8690640416	0.4890530731
34	0.8703767239	0.4848674217
35	0.8698109455	0.4832782652
36	0.8707523294	0.4817905254
37	0.872926147	0.4798883242
38	0.874033166	0.4784626636
39	0.8746611006	0.4762951234
40	0.8749477439	0.4755749212
41	0.8752288636	0.4742389227
42	0.8762932702	0.4723630809
43	0.8786022603	0.4699920483
44	0.8779802306	0.4684001009
45	0.8803027284	0.4647532876
46	0.8800263838	0.4637708788
47	0.8817665182	0.4612099827
48	0.8826527598	0.4593022026
49	0.8849464994	0.4555883141
50	0.886295001	0.4541316008
51	0.8874862299	0.4522687044
52	0.888104984	0.4515327361
53	0.8876444847	0.4513045663
54	0.8887971016	0.4491046547
55	0.8907177288	0.4466983084
56	0.892340402	0.4441839218
57	0.8928477693	0.4433255365
58	0.892890418	0.4425146329
59	0.8928416262	0.4418283113
60	0.8929502828	0.440140139
61	0.8927724371	0.440058566
62	0.8952787245	0.4375828178
63	0.897737336	0.4343141163
64	0.8988917909	0.4324591125
65	0.9002522606	0.4302444186
66	0.9015660706	0.4284332924
67	0.9024069685	0.426151022
68	0.9031775391	0.4244733974
69	0.9028616204	0.4237065607
70	0.9028659787	0.4226039401
71	0.902990622	0.4221313552
72	0.9027447337	0.4217320296
73	0.9026252298	0.4214998417
74	0.9037932945	0.4197682041
75	0.9036604374	0.418501539
76	0.9036423686	0.4175576247
77	0.9050565428	0.4155059017
78	0.9056997673	0.4143751998
79	0.9067576848	0.4120881051
80	0.9077597221	0.4105020241
81	0.9082548	0.4083755228
82	0.9090415606	0.4069132938
83	0.909592707	0.4052851939
84	0.9099047875	0.4048514204
85	0.9115193171	0.4010691889
86	0.9116078132	0.4004704923
87	0.9119301589	0.3998937963
88	0.9120657503	0.3991386547
89	0.91227503	0.3986155621
90	0.9123478822	0.3984816157
91	0.9141222306	0.3955432223
92	0.9145113166	0.3949634954
93	0.9155527293	0.3932241568
94	0.9154222426	0.3929667055
95	0.9156920077	0.3915882889
96	0.9159325626	0.3913395368
97	0.9159447485	0.3909212165
98	0.9160997939	0.3906649431
99	0.9161910974	0.3901302593
100	0.9163895124	0.389485509
101	0.9166774385	0.3889636013
102	0.9177118155	0.38698258
103	0.9185177979	0.3849619469
104	0.9191360452	0.3836943798
105	0.9200877978	0.3824196364
106	0.9213658144	0.3799830505
107	0.9216498998	0.3796286889
108	0.9216355112	0.3793731913
