iter	Passed	Remaining
0	8	17859
1	18	18240
2	24	16055
3	34	17240
4	39	15879
5	48	16164
6	56	16022
7	65	16255
8	73	16158
9	80	16109
10	86	15562
11	91	15083
12	98	15078
13	103	14705
14	110	14658
15	116	14457
16	121	14190
17	131	14440
18	138	14453
19	153	15178
20	163	15398
21	170	15371
22	176	15207
23	184	15167
24	189	14937
25	196	14945
26	202	14765
27	209	14759
28	214	14580
29	219	14408
30	227	14438
31	232	14280
32	238	14203
33	248	14365
34	253	14236
35	261	14268
36	266	14141
37	274	14175
38	279	14055
39	285	13996
40	293	14011
41	298	13906
42	303	13806
43	311	13851
44	317	13811
45	325	13824
46	333	13865
47	341	13894
48	346	13809
49	351	13726
50	360	13792
51	366	13713
52	373	13734
53	378	13648
54	383	13571
55	392	13611
56	397	13533
57	401	13455
58	409	13468
59	414	13401
60	422	13426
61	425	13309
62	430	13246
63	439	13292
64	445	13277
65	460	13483
66	471	13595
67	478	13604
68	484	13549
69	492	13581
70	497	13518
71	505	13526
72	510	13464
73	515	13413
74	522	13421
75	527	13366
76	533	13312
77	540	13320
78	546	13285
79	554	13313
80	561	13310
81	569	13325
82	575	13283
83	580	13236
84	587	13244
85	593	13198
86	598	13156
87	606	13187
88	612	13140
89	621	13187
90	626	13143
91	631	13097
92	639	13114
93	646	13103
94	655	13142
95	660	13100
96	667	13103
97	672	13061
98	677	13018
99	688	13084
100	693	13045
101	701	13062
102	707	13022
103	712	12983
104	720	12996
105	725	12956
106	736	13029
107	741	12990
108	750	13027
109	756	12990
110	761	12953
111	770	12982
112	775	12958
113	783	12969
114	789	12943
115	794	12907
116	802	12914
117	808	12887
118	815	12884
119	823	12900
120	836	12988
121	849	13070
122	858	13098
123	872	13205
124	883	13255
125	891	13259
126	902	13306
127	908	13289
128	917	13312
129	923	13282
130	931	13287
131	936	13251
132	942	13224
133	951	13243
134	956	13215
135	964	13217
136	970	13200
137	975	13166
138	983	13166
139	990	13159
140	998	13168
141	1008	13195
142	1016	13196
143	1021	13170
144	1029	13165
145	1035	13146
146	1040	13119
147	1048	13118
148	1053	13084
149	1058	13051
150	1066	13054
151	1070	13020
152	1079	13026
153	1084	13003
154	1089	12973
155	1097	12978
156	1103	12950
157	1110	12946
158	1115	12919
159	1120	12890
160	1131	12926
161	1137	12910
162	1147	12928
163	1152	12897
164	1159	12895
165	1164	12866
166	1169	12839
167	1180	12871
168	1185	12843
169	1195	12872
170	1200	12845
171	1208	12844
172	1213	12818
173	1219	12795
174	1226	12795
175	1232	12770
176	1237	12745
177	1244	12743
178	1251	12730
179	1259	12730
180	1267	12736
181	1274	12735
182	1280	12710
183	1285	12683
184	1294	12700
185	1299	12674
186	1306	12671
187	1313	12656
188	1318	12630
189	1326	12634
190	1331	12609
191	1336	12584
192	1344	12590
193	1349	12565
194	1357	12565
195	1362	12541
196	1367	12517
197	1375	12522
198	1381	12498
199	1389	12507
200	1395	12492
201	1401	12470
202	1408	12468
203	1413	12444
204	1421	12443
205	1426	12421
206	1431	12401
207	1439	12401
208	1444	12378
209	1449	12358
210	1457	12355
211	1462	12338
212	1467	12315
213	1473	12295
214	1478	12273
215	1485	12272
216	1491	12252
217	1496	12230
218	1505	12241
219	1510	12220
220	1518	12221
221	1526	12225
222	1531	12203
223	1537	12187
224	1541	12164
225	1549	12164
226	1554	12145
227	1559	12123
228	1567	12125
229	1572	12104
230	1577	12083
231	1586	12091
232	1592	12077
233	1602	12096
234	1607	12076
235	1615	12076
236	1620	12055
237	1625	12036
238	1633	12033
239	1638	12013
240	1643	11996
241	1651	11996
242	1656	11977
243	1663	11975
244	1669	11956
